subj_idx,stim,response,rt,condition,MotCon,block
1,-1.5,0,1.2984,1,-1,1
1,0.0,0,1.7542,1,-1,1
1,0.0,0,1.7927,1,-1,1
1,0.5,0,2.3811,1,-1,1
1,0.0,0,2.5652,1,-1,1
1,-1.5,0,1.6291,1,-1,1
1,-0.5,0,1.6394,1,-1,1
1,0.0,0,1.7778,1,-1,1
1,0.0,0,1.8201,1,-1,1
1,0.0,0,2.2899,1,-1,1
1,0.0,0,1.4791,1,-1,1
1,-0.5,0,1.4506,1,-1,1
1,0.0,1,1.7304,1,1,1
1,0.0,0,1.7369,1,-1,1
1,0.0,0,1.7784,1,-1,1
1,1.5,1,1.1482,1,1,1
1,0.0,0,1.6315,1,-1,1
1,0.0,1,1.9649,1,1,1
1,0.0,1,2.0514,1,1,1
1,0.0,1,1.6045,1,1,1
1,0.5,1,1.1529,1,1,1
1,0.0,1,2.0879,1,1,1
1,0.0,0,2.1363,1,-1,1
1,1.5,1,1.2687,1,1,1
1,0.5,1,0.9758,1,1,1
1,0.0,0,1.3721,0,0,2
1,-1.5,0,0.9502,0,0,2
1,0.0,0,1.6243,0,0,2
1,0.0,1,1.0055,0,0,2
1,0.0,1,1.3556,0,0,2
1,-1.5,0,1.1653,0,0,2
1,-0.5,0,1.8993,0,0,2
1,-0.5,0,1.2262,0,0,2
1,1.5,1,1.3718,0,0,2
1,0.0,0,1.6643,0,0,2
1,0.0,1,1.2086,0,0,2
1,0.0,1,1.1892,0,0,2
1,0.0,1,1.6306,0,0,2
1,0.0,0,0.6805,0,0,2
1,0.0,1,1.3580,0,0,2
1,0.5,1,1.3063,0,0,2
1,0.5,1,0.8666,0,0,2
1,0.0,1,2.2264,0,0,2
1,1.5,1,0.8886,0,0,2
1,0.5,1,2.3153,0,0,2
1,0.0,0,0.8490,0,0,2
1,0.0,0,1.5287,0,0,2
1,0.0,0,0.9346,0,0,2
1,0.0,0,1.1394,0,0,2
1,0.0,0,1.1597,0,0,2
1,-0.5,0,1.0039,-1,1,3
1,0.0,0,1.2945,-1,1,3
1,0.5,1,1.3923,-1,-1,3
1,0.0,0,0.6809,-1,1,3
1,0.0,1,2.0313,-1,-1,3
1,-1.5,0,0.6108,-1,1,3
1,0.0,0,0.6325,-1,1,3
1,0.0,0,1.9409,-1,1,3
1,0.5,1,0.9739,-1,-1,3
1,0.0,0,0.8464,-1,1,3
1,0.0,0,1.9912,-1,1,3
1,-0.5,0,0.8823,-1,1,3
1,0.0,0,1.7042,-1,1,3
1,0.0,0,1.9224,-1,1,3
1,1.5,1,1.0612,-1,-1,3
1,-1.5,0,0.7902,-1,1,3
1,0.5,1,1.0375,-1,-1,3
1,0.0,0,1.6940,-1,1,3
1,0.0,0,1.6928,-1,1,3
1,0.0,0,2.0147,-1,1,3
1,0.0,1,1.3160,-1,-1,3
1,0.0,1,1.2527,-1,-1,3
1,1.5,1,0.8621,-1,-1,3
1,0.0,0,0.8859,-1,1,3
1,0.0,1,1.2710,-1,-1,3
1,0.0,0,0.7842,0,0,4
1,0.0,0,2.0273,0,0,4
1,0.0,0,1.2150,0,0,4
1,-0.5,1,1.2947,0,0,4
1,0.0,1,1.1956,0,0,4
1,0.0,0,1.1422,0,0,4
1,0.0,1,1.0338,0,0,4
1,1.5,1,1.1355,0,0,4
1,0.0,1,1.3690,0,0,4
1,0.5,1,0.8192,0,0,4
1,-0.5,0,0.6813,0,0,4
1,0.0,0,0.6976,0,0,4
1,0.0,1,0.9880,0,0,4
1,0.0,0,0.8217,0,0,4
1,1.5,1,0.9687,0,0,4
1,0.0,0,0.7859,0,0,4
1,0.0,1,1.0475,0,0,4
1,0.5,1,1.0485,0,0,4
1,-0.5,0,0.8716,0,0,4
1,0.0,0,1.5812,0,0,4
1,-1.5,0,1.0272,0,0,4
1,0.0,0,1.9091,0,0,4
1,0.0,1,1.5923,0,0,4
1,0.0,0,0.9312,0,0,4
1,-1.5,0,0.6652,0,0,4
1,0.0,0,1.4813,1,-1,5
1,0.0,1,1.9068,1,1,5
1,0.5,1,1.1160,1,1,5
1,0.0,1,0.8069,1,1,5
1,0.0,1,1.0533,1,1,5
1,0.0,0,1.1882,1,-1,5
1,0.0,0,1.8700,1,-1,5
1,0.0,1,2.7329,1,1,5
1,0.0,0,0.8655,1,-1,5
1,-0.5,0,0.9501,1,-1,5
1,0.0,1,0.8469,1,1,5
1,0.0,0,1.6446,1,-1,5
1,0.0,1,2.2690,1,1,5
1,-1.5,0,1.0373,1,-1,5
1,-0.5,0,0.6892,1,-1,5
1,0.0,1,1.3104,1,1,5
1,-0.5,0,1.8637,1,-1,5
1,0.0,1,1.5487,1,1,5
1,0.0,0,0.8719,1,-1,5
1,0.0,0,1.9698,1,-1,5
1,1.5,1,0.9468,1,1,5
1,1.5,1,0.8752,1,1,5
1,0.5,1,0.8356,1,1,5
1,-1.5,0,0.8769,1,-1,5
1,0.0,0,1.5770,1,-1,5
1,0.0,1,0.8434,-1,-1,6
1,0.0,1,1.6418,-1,-1,6
1,-0.5,0,0.9852,-1,1,6
1,0.0,0,0.9907,-1,1,6
1,0.0,1,0.9939,-1,-1,6
1,-0.5,0,0.7158,-1,1,6
1,0.0,1,1.0059,-1,-1,6
1,0.0,1,0.8326,-1,-1,6
1,0.5,1,1.2912,-1,-1,6
1,0.0,0,1.4244,-1,1,6
1,0.0,1,0.8007,-1,-1,6
1,0.0,0,1.3070,-1,1,6
1,0.5,0,1.1942,-1,1,6
1,-1.5,0,0.7803,-1,1,6
1,0.0,0,0.8689,-1,1,6
1,0.0,0,0.7367,-1,1,6
1,1.5,1,0.8006,-1,-1,6
1,0.0,0,1.4602,-1,1,6
1,-0.5,0,0.9402,-1,1,6
1,0.0,0,1.8076,-1,1,6
1,0.0,0,0.9014,-1,1,6
1,-1.5,0,1.0018,-1,1,6
1,0.0,0,1.0495,-1,1,6
1,1.5,1,0.8780,-1,-1,6
1,0.0,0,1.9571,-1,1,6
1,0.5,0,0.8493,-1,1,7
1,-1.5,0,0.6816,-1,1,7
1,0.0,1,1.4274,-1,-1,7
1,1.5,1,0.8432,-1,-1,7
1,-0.5,0,1.1409,-1,1,7
1,0.0,0,0.8112,-1,1,7
1,0.0,1,2.0771,-1,-1,7
1,0.5,1,0.8407,-1,-1,7
1,0.0,1,1.2031,-1,-1,7
1,-0.5,0,0.7274,-1,1,7
1,0.0,0,1.2589,-1,1,7
1,0.0,0,1.2400,-1,1,7
1,0.0,0,0.6713,-1,1,7
1,0.0,0,0.7872,-1,1,7
1,-0.5,0,0.6514,-1,1,7
1,0.0,0,0.7996,-1,1,7
1,0.0,1,1.5230,-1,-1,7
1,0.0,0,2.4240,-1,1,7
1,0.0,0,1.2639,-1,1,7
1,0.0,0,1.3813,-1,1,7
1,0.0,1,1.0429,-1,-1,7
1,0.0,0,1.0143,-1,1,7
1,1.5,1,0.6992,-1,-1,7
1,0.0,0,0.5721,-1,1,7
1,-1.5,0,0.6944,-1,1,7
1,0.0,0,1.1118,1,-1,8
1,1.5,1,1.2235,1,1,8
1,0.5,1,1.2612,1,1,8
