subj_idx,stim,response,rt,condition,MotCon,pupil,baseline
1,-1.5,0,1.2984,1,-1,-0.002,1.321
1,0.0,0,1.7542,1,-1,-0.027,1.706
1,0.0,0,1.7927,1,-1,-1.041,2.009
1,0.5,0,2.3811,1,-1,-0.241,1.218
1,0.0,0,2.5652,1,-1,-0.380,1.503
1,-1.5,0,1.6291,1,-1,-0.092,1.522
1,-0.5,0,1.6394,1,-1,-0.569,1.681
1,0.0,0,1.7778,1,-1,-0.234,1.815
1,0.0,0,1.8201,1,-1,-0.143,1.594
1,0.0,0,2.2899,1,-1,0.043,1.746
1,0.0,0,1.4791,1,-1,0.130,1.361
1,-0.5,0,1.4506,1,-1,-0.577,1.060
1,0.0,1,1.7304,1,1,-0.246,1.455
1,0.0,0,1.7369,1,-1,-0.415,1.519
1,0.0,0,1.7784,1,-1,-0.611,1.575
1,1.5,1,1.1482,1,1,-0.038,1.675
1,0.0,0,1.6315,1,-1,-0.024,1.833
1,0.0,1,1.9649,1,1,-0.452,1.747
1,0.0,1,2.0514,1,1,0.162,1.267
1,0.0,1,1.6045,1,1,-0.672,1.655
1,0.5,1,1.1529,1,1,0.037,1.622
1,0.0,1,2.0879,1,1,-0.772,2.079
1,0.0,0,2.1363,1,-1,0.000,1.648
1,1.5,1,1.2687,1,1,-0.112,1.263
1,0.5,1,0.9758,1,1,0.103,1.058
1,0.0,0,1.3721,0,0,-0.079,0.820
1,-1.5,0,0.9502,0,0,0.210,0.885
1,0.0,0,1.6243,0,0,-0.161,1.533
1,-0.5,0,1.0039,-1,1,0.091,0.593
1,0.0,0,1.2945,-1,1,-0.186,0.713
1,0.5,1,1.3923,-1,-1,-0.402,0.594
1,0.0,0,0.6809,-1,1,-0.102,0.985
1,0.0,1,2.0313,-1,-1,0.027,0.531
1,-1.5,0,0.6108,-1,1,-0.032,0.945
1,0.0,0,0.6325,-1,1,-0.144,0.809
1,0.0,0,1.9409,-1,1,0.072,1.045
1,0.5,1,0.9739,-1,-1,0.395,0.893
1,0.0,0,0.8464,-1,1,-0.014,1.234
1,0.0,0,1.9912,-1,1,0.473,0.386
1,-0.5,0,0.8823,-1,1,-0.088,1.459
1,0.0,0,1.7042,-1,1,-0.101,1.153
1,0.0,0,1.9224,-1,1,-0.286,1.244
1,1.5,1,1.0612,-1,-1,-0.357,0.341
1,-1.5,0,0.7902,-1,1,-0.256,0.805
1,0.5,1,1.0375,-1,-1,0.039,0.448
1,0.0,0,1.6940,-1,1,0.297,0.957
1,0.0,0,1.6928,-1,1,-0.513,1.021
1,0.0,0,2.0147,-1,1,-0.231,0.777
1,0.0,1,1.3160,-1,-1,-0.468,0.496
1,0.0,1,1.2527,-1,-1,0.287,0.228
1,1.5,1,0.8621,-1,-1,0.336,0.299
1,0.0,0,0.8859,-1,1,-0.224,1.096
1,0.0,1,1.2710,-1,-1,-0.718,1.315
1,0.0,0,0.7842,0,0,-0.009,0.719
1,0.0,0,2.0273,0,0,-0.347,1.333
1,-0.5,1,1.2947,0,0,-0.086,0.439
1,0.0,1,1.1956,0,0,0.429,0.675
1,0.0,0,1.1422,0,0,-0.349,1.365
1,0.0,1,1.0338,0,0,0.248,0.707
1,0.0,1,1.3690,0,0,-0.475,0.240
1,0.5,1,0.8192,0,0,0.444,0.457
1,-0.5,0,0.6813,0,0,0.227,0.756
1,0.0,0,0.6976,0,0,-0.020,0.420
1,0.0,1,0.9880,0,0,0.106,0.023
1,0.0,0,0.8217,0,0,0.375,-0.030
1,1.5,1,0.9687,0,0,0.345,-0.511
1,0.0,0,0.7859,0,0,-0.084,0.090
1,0.0,1,1.0475,0,0,-0.007,0.845
1,0.5,1,1.0485,0,0,-0.152,0.712
1,-0.5,0,0.8716,0,0,-0.046,0.775
1,0.0,0,1.5812,0,0,-0.475,0.175
1,-1.5,0,1.0272,0,0,-0.041,-0.366
1,0.0,0,1.9091,0,0,0.255,0.048
1,0.0,1,1.5923,0,0,0.430,0.307
1,0.0,0,0.9312,0,0,0.245,0.024
1,-1.5,0,0.6652,0,0,0.113,0.449
1,0.0,1,0.8069,1,1,0.535,0.059
1,0.0,1,1.0533,1,1,-0.062,0.625
1,0.0,0,1.1882,1,-1,0.071,0.319
1,0.0,0,1.8700,1,-1,0.487,-0.064
1,0.0,1,2.7329,1,1,-0.750,0.912
1,0.0,0,0.8655,1,-1,0.491,-0.080
1,-0.5,0,0.9501,1,-1,0.041,0.313
1,0.0,1,0.8469,1,1,-0.041,-1.011
1,0.0,0,1.6446,1,-1,0.085,0.342
1,0.0,1,2.2690,1,1,-0.064,-0.165
1,-1.5,0,1.0373,1,-1,0.015,0.104
1,-0.5,0,0.6892,1,-1,0.297,0.044
1,0.0,1,1.3104,1,1,-1.006,-1.241
1,-0.5,0,1.8637,1,-1,0.361,-0.161
1,0.0,1,1.5487,1,1,-0.328,-0.311
1,0.0,0,0.8719,1,-1,0.001,-0.536
1,0.0,0,1.9698,1,-1,0.469,-1.338
1,1.5,1,0.9468,1,1,0.376,-0.832
1,1.5,1,0.8752,1,1,-0.233,-0.349
1,0.5,1,0.8356,1,1,-0.239,0.137
1,-1.5,0,0.8769,1,-1,0.275,-0.705
1,0.0,0,1.5770,1,-1,0.201,-0.419
1,0.0,1,0.8434,-1,-1,-0.028,-0.393
1,0.0,1,1.6418,-1,-1,-0.162,0.009
1,-0.5,0,0.9852,-1,1,-0.024,0.605
1,0.0,0,0.9907,-1,1,0.553,-0.168
1,0.0,1,0.9939,-1,-1,-0.006,1.014
1,-0.5,0,0.7158,-1,1,-0.021,1.536
1,0.0,1,1.0059,-1,-1,-0.215,1.555
1,0.0,1,0.8326,-1,-1,0.362,1.165
1,0.5,1,1.2912,-1,-1,-0.034,1.120
1,0.0,0,1.4244,-1,1,-0.649,0.445
1,0.0,1,0.8007,-1,-1,-0.030,0.281
1,0.0,0,1.3070,-1,1,0.045,1.205
1,0.5,0,1.1942,-1,1,-0.332,1.369
1,-1.5,0,0.7803,-1,1,-0.041,0.784
1,0.0,0,0.8689,-1,1,-0.103,1.214
1,0.0,0,0.7367,-1,1,-0.106,-0.395
1,1.5,1,0.8006,-1,-1,0.062,0.976
1,0.0,0,1.4602,-1,1,0.038,0.663
1,-0.5,0,0.9402,-1,1,-0.182,1.341
1,0.0,0,1.8076,-1,1,-0.954,1.357
1,0.0,0,0.9014,-1,1,-0.195,0.662
1,-1.5,0,1.0018,-1,1,0.243,-0.567
1,0.0,0,1.0495,-1,1,0.250,-1.106
1,1.5,1,0.8780,-1,-1,0.223,-2.326
1,0.0,0,1.9571,-1,1,-1.468,-0.424
1,0.5,0,0.8493,-1,1,0.169,0.306
1,-1.5,0,0.6816,-1,1,0.272,-0.157
1,0.0,1,1.4274,-1,-1,-0.299,-0.126
1,1.5,1,0.8432,-1,-1,0.012,0.072
1,-0.5,0,1.1409,-1,1,-0.632,0.256
1,0.0,0,0.8112,-1,1,0.148,-0.037
1,0.0,1,2.0771,-1,-1,0.063,0.306
1,0.5,1,0.8407,-1,-1,-0.456,0.729
1,0.0,1,1.2031,-1,-1,-0.199,0.461
1,-0.5,0,0.7274,-1,1,0.087,0.172
1,0.0,0,1.2589,-1,1,-0.045,0.171
1,0.0,0,1.2400,-1,1,-0.774,0.310
1,0.0,0,0.6713,-1,1,-0.071,0.146
1,0.0,0,0.7872,-1,1,-0.029,0.672
1,-0.5,0,0.6514,-1,1,0.142,0.334
1,0.0,0,0.7996,-1,1,0.076,0.942
